account_id,region,account_type,tier,onboarded_date,month,cases_ordered
ACC-1000,Osnabrück Stadt,Gastronomie - Restaurant,C - Occasional,2021-08-19,2025-07,4
ACC-1000,Osnabrück Stadt,Gastronomie - Restaurant,C - Occasional,2021-08-19,2025-08,3
ACC-1000,Osnabrück Stadt,Gastronomie - Restaurant,C - Occasional,2021-08-19,2025-09,2
ACC-1000,Osnabrück Stadt,Gastronomie - Restaurant,C - Occasional,2021-08-19,2025-10,3
ACC-1000,Osnabrück Stadt,Gastronomie - Restaurant,C - Occasional,2021-08-19,2025-11,2
ACC-1000,Osnabrück Stadt,Gastronomie - Restaurant,C - Occasional,2021-08-19,2025-12,3
ACC-1001,Münsterland (NRW),Gastronomie - Bar,B - Regular,2023-07-04,2025-07,5
ACC-1001,Münsterland (NRW),Gastronomie - Bar,B - Regular,2023-07-04,2025-08,8
ACC-1001,Münsterland (NRW),Gastronomie - Bar,B - Regular,2023-07-04,2025-09,17
ACC-1001,Münsterland (NRW),Gastronomie - Bar,B - Regular,2023-07-04,2025-10,14
ACC-1001,Münsterland (NRW),Gastronomie - Bar,B - Regular,2023-07-04,2025-11,12
ACC-1001,Münsterland (NRW),Gastronomie - Bar,B - Regular,2023-07-04,2025-12,6
ACC-1002,Emsland,Gastronomie - Bar,B - Regular,2021-09-23,2025-07,7
ACC-1002,Emsland,Gastronomie - Bar,B - Regular,2021-09-23,2025-08,5
ACC-1002,Emsland,Gastronomie - Bar,B - Regular,2021-09-23,2025-09,5
ACC-1002,Emsland,Gastronomie - Bar,B - Regular,2021-09-23,2025-10,7
ACC-1002,Emsland,Gastronomie - Bar,B - Regular,2021-09-23,2025-11,8
ACC-1002,Emsland,Gastronomie - Bar,B - Regular,2021-09-23,2025-12,6
ACC-1003,Münsterland (NRW),Gastronomie - Restaurant,C - Occasional,2021-09-27,2025-07,5
ACC-1003,Münsterland (NRW),Gastronomie - Restaurant,C - Occasional,2021-09-27,2025-08,0
ACC-1003,Münsterland (NRW),Gastronomie - Restaurant,C - Occasional,2021-09-27,2025-09,5
ACC-1003,Münsterland (NRW),Gastronomie - Restaurant,C - Occasional,2021-09-27,2025-10,0
ACC-1003,Münsterland (NRW),Gastronomie - Restaurant,C - Occasional,2021-09-27,2025-11,0
ACC-1003,Münsterland (NRW),Gastronomie - Restaurant,C - Occasional,2021-09-27,2025-12,0
ACC-1004,Oldenburg,Gastronomie - Bar,C - Occasional,2021-01-02,2025-07,4
ACC-1004,Oldenburg,Gastronomie - Bar,C - Occasional,2021-01-02,2025-08,2
