month,product_line,channel,cases_sold,avg_price_per_case_eur,revenue_eur
2024-01,Hasetal Dry Gin,Fachhandel (Distributor),456,19.52,8900.53
2024-02,Hasetal Dry Gin,Fachhandel (Distributor),457,20.5,9366.46
2024-03,Hasetal Dry Gin,Fachhandel (Distributor),418,19.46,8135.25
2024-04,Hasetal Dry Gin,Fachhandel (Distributor),483,20.05,9684.75
2024-05,Hasetal Dry Gin,Fachhandel (Distributor),400,19.92,7967.61
2024-06,Hasetal Dry Gin,Fachhandel (Distributor),396,19.33,7653.16
2024-07,Hasetal Dry Gin,Fachhandel (Distributor),418,18.47,7722.55
2024-08,Hasetal Dry Gin,Fachhandel (Distributor),341,19.27,6570.86
2024-09,Hasetal Dry Gin,Fachhandel (Distributor),363,19.78,7181.87
2024-10,Hasetal Dry Gin,Fachhandel (Distributor),363,18.77,6813.35
2024-11,Hasetal Dry Gin,Fachhandel (Distributor),442,19.47,8604.52
2024-12,Hasetal Dry Gin,Fachhandel (Distributor),389,18.76,7298.51
2025-01,Hasetal Dry Gin,Fachhandel (Distributor),364,19.67,7158.14
2025-02,Hasetal Dry Gin,Fachhandel (Distributor),339,19.82,6719.29
2025-03,Hasetal Dry Gin,Fachhandel (Distributor),354,19.43,6877.68
2025-04,Hasetal Dry Gin,Fachhandel (Distributor),350,20.69,7241.2
2025-05,Hasetal Dry Gin,Fachhandel (Distributor),365,18.98,6926.99
2025-06,Hasetal Dry Gin,Fachhandel (Distributor),388,18.88,7326.27
2025-07,Hasetal Dry Gin,Fachhandel (Distributor),364,18.45,6714.97
2025-08,Hasetal Dry Gin,Fachhandel (Distributor),311,19.72,6131.6
2025-09,Hasetal Dry Gin,Fachhandel (Distributor),373,19.7,7348.39
2025-10,Hasetal Dry Gin,Fachhandel (Distributor),342,19.42,6642.65
2025-11,Hasetal Dry Gin,Fachhandel (Distributor),297,19.18,5695.49
2025-12,Hasetal Dry Gin,Fachhandel (Distributor),324,20.22,6551.79
2024-01,Hasetal Dry Gin,Gastronomie (On-Premise),247,23.2,5731.43
2024-02,Hasetal Dry Gin,Gastronomie (On-Premise),243,24.22,5884.72
2024-03,Hasetal Dry Gin,Gastronomie (On-Premise),220,24.95,5488.91
2024-04,Hasetal Dry Gin,Gastronomie (On-Premise),253,25.18,6371.68
2024-05,Hasetal Dry Gin,Gastronomie (On-Premise),212,24.27,5145.82
2024-06,Hasetal Dry Gin,Gastronomie (On-Premise),233,25.22,5875.57
2024-07,Hasetal Dry Gin,Gastronomie (On-Premise),214,24.36,5213.8
2024-08,Hasetal Dry Gin,Gastronomie (On-Premise),199,23.62,4700.54
2024-09,Hasetal Dry Gin,Gastronomie (On-Premise),235,25.5,5991.76
2024-10,Hasetal Dry Gin,Gastronomie (On-Premise),215,25.24,5426.08
2024-11,Hasetal Dry Gin,Gastronomie (On-Premise),221,24.03,5309.71
2024-12,Hasetal Dry Gin,Gastronomie (On-Premise),219,25.63,5613.07
2025-01,Hasetal Dry Gin,Gastronomie (On-Premise),209,25.65,5360.85
2025-02,Hasetal Dry Gin,Gastronomie (On-Premise),158,25.1,3966.45
2025-03,Hasetal Dry Gin,Gastronomie (On-Premise),206,24.28,5001.73
2025-04,Hasetal Dry Gin,Gastronomie (On-Premise),204,23.04,4699.98
2025-05,Hasetal Dry Gin,Gastronomie (On-Premise),196,24.76,4853.45
2025-06,Hasetal Dry Gin,Gastronomie (On-Premise),224,24.12,5402.67
2025-07,Hasetal Dry Gin,Gastronomie (On-Premise),182,24.13,4391.88
2025-08,Hasetal Dry Gin,Gastronomie (On-Premise),210,24.74,5195.74
2025-09,Hasetal Dry Gin,Gastronomie (On-Premise),182,24.88,4527.66
2025-10,Hasetal Dry Gin,Gastronomie (On-Premise),191,25.21,4815.48
2025-11,Hasetal Dry Gin,Gastronomie (On-Premise),176,24.26,4269.61
2025-12,Hasetal Dry Gin,Gastronomie (On-Premise),179,23.42,4192.95
2024-01,Hasetal Dry Gin,DTC Online,160,28.4,4543.31
2024-02,Hasetal Dry Gin,DTC Online,164,27.98,4588.18
2024-03,Hasetal Dry Gin,DTC Online,150,27.82,4172.92
2024-04,Hasetal Dry Gin,DTC Online,174,27.5,4784.46
2024-05,Hasetal Dry Gin,DTC Online,186,28.52,5304.07
2024-06,Hasetal Dry Gin,DTC Online,231,28.32,6542.51
2024-07,Hasetal Dry Gin,DTC Online,212,28.11,5959.76
2024-08,Hasetal Dry Gin,DTC Online,179,28.15,5039.31
2024-09,Hasetal Dry Gin,DTC Online,228,30.26,6898.61
2024-10,Hasetal Dry Gin,DTC Online,234,28.43,6652.59
2024-11,Hasetal Dry Gin,DTC Online,249,27.19,6769.61
2024-12,Hasetal Dry Gin,DTC Online,289,28.81,8326.26
2025-01,Hasetal Dry Gin,DTC Online,294,27.41,8057.46
2025-02,Hasetal Dry Gin,DTC Online,324,26.99,8744.79
2025-03,Hasetal Dry Gin,DTC Online,317,30.03,9518.39
2025-04,Hasetal Dry Gin,DTC Online,288,27.7,7976.55
2025-05,Hasetal Dry Gin,DTC Online,334,27.75,9268.31
2025-06,Hasetal Dry Gin,DTC Online,298,28.23,8413.42
2025-07,Hasetal Dry Gin,DTC Online,329,28.58,9401.28
2025-08,Hasetal Dry Gin,DTC Online,350,29.49,10319.78
2025-09,Hasetal Dry Gin,DTC Online,371,27.9,10351.93
2025-10,Hasetal Dry Gin,DTC Online,449,27.13,12183.44
2025-11,Hasetal Dry Gin,DTC Online,448,29.28,13117.38
2025-12,Hasetal Dry Gin,DTC Online,393,28.33,11134.11
2024-01,Hasetal Dry Gin,Hofladen/Tasting Room,224,24.77,5548.57
2024-02,Hasetal Dry Gin,Hofladen/Tasting Room,213,25.95,5528.24
2024-03,Hasetal Dry Gin,Hofladen/Tasting Room,217,25.2,5468.44
2024-04,Hasetal Dry Gin,Hofladen/Tasting Room,216,25.17,5437.52
2024-05,Hasetal Dry Gin,Hofladen/Tasting Room,228,24.81,5655.68
2024-06,Hasetal Dry Gin,Hofladen/Tasting Room,195,26.33,5134.82
2024-07,Hasetal Dry Gin,Hofladen/Tasting Room,201,26.47,5320.17
2024-08,Hasetal Dry Gin,Hofladen/Tasting Room,230,27.19,6253.44
2024-09,Hasetal Dry Gin,Hofladen/Tasting Room,198,25.04,4957.63
2024-10,Hasetal Dry Gin,Hofladen/Tasting Room,209,25.99,5431.55
2024-11,Hasetal Dry Gin,Hofladen/Tasting Room,232,25.74,5970.53
2024-12,Hasetal Dry Gin,Hofladen/Tasting Room,216,27.82,6010.05
2025-01,Hasetal Dry Gin,Hofladen/Tasting Room,201,24.9,5004.61
2025-02,Hasetal Dry Gin,Hofladen/Tasting Room,214,26.28,5623.07
2025-03,Hasetal Dry Gin,Hofladen/Tasting Room,218,25.07,5465.58
2025-04,Hasetal Dry Gin,Hofladen/Tasting Room,202,26.39,5329.96
2025-05,Hasetal Dry Gin,Hofladen/Tasting Room,195,25.86,5042.44
2025-06,Hasetal Dry Gin,Hofladen/Tasting Room,203,25.84,5246.26
2025-07,Hasetal Dry Gin,Hofladen/Tasting Room,197,26.0,5122.22
2025-08,Hasetal Dry Gin,Hofladen/Tasting Room,244,26.54,6475.34
2025-09,Hasetal Dry Gin,Hofladen/Tasting Room,197,26.12,5146.13
2025-10,Hasetal Dry Gin,Hofladen/Tasting Room,234,28.7,6715.41
2025-11,Hasetal Dry Gin,Hofladen/Tasting Room,248,26.46,6562.39
2025-12,Hasetal Dry Gin,Hofladen/Tasting Room,219,26.31,5762.05
2024-01,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),141,21.45,3023.96
2024-02,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),143,21.65,3096.39
2024-03,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),178,20.39,3629.42
2024-04,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),154,20.55,3165.46
2024-05,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),137,22.31,3055.87
2024-06,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),71,20.9,1484.02
2024-07,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),65,22.04,1432.62
2024-08,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),64,21.74,1391.38
2024-09,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),136,21.18,2880.18
2024-10,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),159,22.01,3499.71
2024-11,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),236,21.72,5126.11
2024-12,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),268,22.15,5936.84
2025-01,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),119,21.53,2561.55
2025-02,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),132,22.16,2925.25
2025-03,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),111,21.38,2373.54
2025-04,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),117,21.18,2477.67
2025-05,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),140,21.86,3060.74
2025-06,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),53,22.19,1176.32
2025-07,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),70,22.27,1558.83
2025-08,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),50,21.29,1064.31
2025-09,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),127,21.14,2684.96
2025-10,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),117,22.1,2585.93
2025-11,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),224,21.56,4829.76
2025-12,Hasetal Sloe Gin (Saison),Fachhandel (Distributor),170,20.94,3559.15
2024-01,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),81,25.99,2105.13
2024-02,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),94,25.84,2429.11
2024-03,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),77,27.11,2087.15
2024-04,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),90,25.84,2325.33
2024-05,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),86,27.01,2322.71
