respondent_id,visit_month,age_group,discovery_channel,preferred_purchase_channel,alcohol_consumption_change_12m,interest_in_alkoholfrei_line,nps_score_0_10
R-2000,2025-02,18-24,Instagram/Social Media,Gastronomie,"Ja, deutlich weniger",Vielleicht,9
R-2001,2025-02,65+,Wochenmarkt/Event,Online-Shop (DTC),Unverändert,"Nein, kein Interesse",9
R-2002,2025-04,65+,Empfehlung (Word of Mouth),Hofladen (vor Ort),Unverändert,Vielleicht,8
R-2003,2025-09,35-44,Google-Suche,Fachhandel,Unverändert,"Nein, kein Interesse",6
R-2004,2025-07,45-54,Empfehlung (Word of Mouth),Hofladen (vor Ort),"Ja, etwas weniger","Ja, interessiert",9
R-2005,2025-05,45-54,Instagram/Social Media,Hofladen (vor Ort),Unverändert,"Ja, interessiert",9
R-2006,2025-07,65+,Empfehlung (Word of Mouth),Hofladen (vor Ort),"Ja, etwas weniger",Vielleicht,8
R-2007,2025-09,35-44,Instagram/Social Media,Fachhandel,Unverändert,Vielleicht,9
R-2008,2025-11,45-54,Empfehlung (Word of Mouth),Hofladen (vor Ort),"Ja, etwas weniger","Ja, interessiert",10
R-2009,2025-01,25-34,Wochenmarkt/Event,Online-Shop (DTC),Unverändert,"Nein, kein Interesse",6
R-2010,2025-04,25-34,Instagram/Social Media,Hofladen (vor Ort),Unverändert,Vielleicht,8
R-2011,2025-03,35-44,Sonstiges,Online-Shop (DTC),Unverändert,"Nein, kein Interesse",7
R-2012,2025-08,25-34,Wochenmarkt/Event,Hofladen (vor Ort),"Ja, etwas weniger","Ja, interessiert",7
R-2013,2025-04,18-24,Empfehlung (Word of Mouth),Fachhandel,"Ja, etwas weniger","Ja, interessiert",9
R-2014,2025-06,35-44,Fachhandel-Regal,Gastronomie,Unverändert,"Ja, interessiert",7
R-2015,2025-08,45-54,Instagram/Social Media,Hofladen (vor Ort),Unverändert,Vielleicht,7
R-2016,2025-01,25-34,Empfehlung (Word of Mouth),Online-Shop (DTC),Unverändert,Vielleicht,8
R-2017,2025-07,55-64,Sonstiges,Online-Shop (DTC),"Ja, etwas weniger",Vielleicht,9
R-2018,2025-01,45-54,Instagram/Social Media,Fachhandel,"Ja, etwas weniger",Vielleicht,9
R-2019,2025-06,45-54,Google-Suche,Hofladen (vor Ort),Unverändert,"Ja, interessiert",10
R-2020,2025-10,55-64,Instagram/Social Media,Fachhandel,Unverändert,Vielleicht,7
R-2021,2025-03,25-34,Wochenmarkt/Event,Fachhandel,Trinke mehr,"Nein, kein Interesse",9
R-2022,2025-01,25-34,Wochenmarkt/Event,Fachhandel,"Ja, etwas weniger","Nein, kein Interesse",6
R-2023,2025-05,55-64,Instagram/Social Media,Online-Shop (DTC),Unverändert,"Nein, kein Interesse",9
R-2024,2025-09,55-64,Empfehlung (Word of Mouth),Fachhandel,Unverändert,"Ja, interessiert",10
R-2025,2025-07,25-34,Wochenmarkt/Event,Online-Shop (DTC),"Ja, etwas weniger","Ja, interessiert",10
R-2026,2025-08,55-64,Wochenmarkt/Event,Hofladen (vor Ort),Unverändert,Vielleicht,7
R-2027,2025-07,18-24,Instagram/Social Media,Hofladen (vor Ort),Unverändert,"Nein, kein Interesse",8
R-2028,2025-03,25-34,Empfehlung (Word of Mouth),Online-Shop (DTC),Unverändert,"Ja, interessiert",10
R-2029,2025-04,25-34,Sonstiges,Online-Shop (DTC),"Ja, deutlich weniger","Ja, interessiert",8
R-2030,2025-08,25-34,Empfehlung (Word of Mouth),Fachhandel,Unverändert,"Ja, interessiert",10
R-2031,2025-03,35-44,Google-Suche,Fachhandel,Unverändert,"Nein, kein Interesse",7
R-2032,2025-01,65+,Instagram/Social Media,Hofladen (vor Ort),Unverändert,Vielleicht,10
R-2033,2025-01,35-44,Empfehlung (Word of Mouth),Online-Shop (DTC),"Ja, etwas weniger","Nein, kein Interesse",10
R-2034,2025-11,25-34,Empfehlung (Word of Mouth),Fachhandel,Trinke mehr,"Ja, interessiert",9
R-2035,2025-04,25-34,Wochenmarkt/Event,Online-Shop (DTC),Unverändert,"Ja, interessiert",7
R-2036,2025-11,18-24,Google-Suche,Hofladen (vor Ort),"Ja, etwas weniger",Vielleicht,8
R-2037,2025-06,18-24,Google-Suche,Gastronomie,"Ja, etwas weniger","Ja, interessiert",8
R-2038,2025-10,35-44,Google-Suche,Online-Shop (DTC),Trinke mehr,"Nein, kein Interesse",9
R-2039,2025-10,35-44,Google-Suche,Hofladen (vor Ort),"Ja, deutlich weniger",Vielleicht,8
R-2040,2025-07,25-34,Fachhandel-Regal,Online-Shop (DTC),"Ja, deutlich weniger","Ja, interessiert",8
R-2041,2025-05,35-44,Empfehlung (Word of Mouth),Hofladen (vor Ort),Unverändert,Vielleicht,8
R-2042,2025-04,25-34,Fachhandel-Regal,Hofladen (vor Ort),"Ja, etwas weniger",Vielleicht,10
R-2043,2025-03,45-54,Empfehlung (Word of Mouth),Fachhandel,"Ja, deutlich weniger","Ja, interessiert",5
R-2044,2025-02,35-44,Instagram/Social Media,Fachhandel,"Ja, etwas weniger","Nein, kein Interesse",6
R-2045,2025-10,25-34,Instagram/Social Media,Online-Shop (DTC),"Ja, deutlich weniger","Ja, interessiert",6
R-2046,2025-07,35-44,Google-Suche,Hofladen (vor Ort),"Ja, etwas weniger","Ja, interessiert",7
R-2047,2025-07,25-34,Wochenmarkt/Event,Online-Shop (DTC),"Ja, deutlich weniger","Ja, interessiert",5
R-2048,2025-10,25-34,Instagram/Social Media,Online-Shop (DTC),"Ja, deutlich weniger","Ja, interessiert",9
R-2049,2025-04,25-34,Wochenmarkt/Event,Online-Shop (DTC),"Ja, deutlich weniger","Nein, kein Interesse",8
R-2050,2025-08,55-64,Instagram/Social Media,Hofladen (vor Ort),Unverändert,Vielleicht,8
R-2051,2025-06,25-34,Empfehlung (Word of Mouth),Fachhandel,"Ja, deutlich weniger","Ja, interessiert",7
R-2052,2025-03,65+,Wochenmarkt/Event,Hofladen (vor Ort),Unverändert,"Ja, interessiert",8
