,month,account_type,cases_ordered
0,2025-07,Fachhandel,84
1,2025-07,Gastronomie - Bar,153
2,2025-07,Gastronomie - Restaurant,99
3,2025-07,Getränkemarkt,56
4,2025-08,Fachhandel,100
5,2025-08,Gastronomie - Bar,124
6,2025-08,Gastronomie - Restaurant,71
7,2025-08,Getränkemarkt,38
8,2025-09,Fachhandel,68
9,2025-09,Gastronomie - Bar,143
10,2025-09,Gastronomie - Restaurant,59
11,2025-09,Getränkemarkt,46
12,2025-10,Fachhandel,73
13,2025-10,Gastronomie - Bar,141
14,2025-10,Gastronomie - Restaurant,60
15,2025-10,Getränkemarkt,49
16,2025-11,Fachhandel,90
17,2025-11,Gastronomie - Bar,144
18,2025-11,Gastronomie - Restaurant,55
19,2025-11,Getränkemarkt,59
20,2025-12,Fachhandel,92
21,2025-12,Gastronomie - Bar,126
22,2025-12,Gastronomie - Restaurant,75
23,2025-12,Getränkemarkt,46
