Product,Channel,Revenue EUR
Hasetal Dry Gin,DTC Online,188068.43
Hasetal Dry Gin,Fachhandel (Distributor),177233.88
Hasetal Dry Gin,Hofladen/Tasting Room,134212.1
Hasetal Dry Gin,Gastronomie (On-Premise),123431.54
Hasetal Sloe Gin (Saison),DTC Online,78744.54
Hasetal Sloe Gin (Saison),Fachhandel (Distributor),68579.97
Alte Sorte Obstbrand,Fachhandel (Distributor),64533.7
Alte Sorte Obstbrand,DTC Online,64291.64
Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,53968.79
Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),50340.52
Alte Sorte Obstbrand,Hofladen/Tasting Room,46956.66
Alte Sorte Obstbrand,Gastronomie (On-Premise),43142.9
Hasetal Alkoholfrei Botanical,DTC Online,26595.16
Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),17915.73
Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,14117.03
Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),11594.52
